module,variable_name,label,question_text,response_options,waves,in_public_data
Benefits &amp; Hardships,snap_whynot_greencard,why not apply for SNAP? - worried would affect green card,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - I was worried it would disqualify a family member or relative from obtaining a green card,if apply SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_dkhow,why not apply for SNAP? - don’t know how,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - I don't know how to apply,if apply SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_notime,why not apply for SNAP? - no time to apply,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - I haven't had time to apply yet,if apply SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_complicated,why not apply for SNAP? - too complicated,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - The application was too complicated,if apply SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_techprobs,why not apply for SNAP? - technical problems,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - I tried to apply but experienced technical problems with the application,if apply SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_other,why not apply for SNAP? - other,Why have you not applied for the SNAP program in 2020? Mark all that apply. - Selected Choice - Other:,if apply SNAP 2020 == 0,9,False
Benefits &amp; Hardships,snap_whynot_other_text,"why not apply for SNAP? - other, text",Why have you not applied for the SNAP program in 2020? Mark all that apply. - Other: - Text,if apply SNAP 2020 == 0,9,False
Child,parenttrap,feel trapped by parenting responsibilities,Do you agree or disagree?: I feel trapped by my responsibilities as a parent.,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",False
Work Relationships,workunhappy_diffjob,frequent bad event at work - likelihood of looking for new job,"If something happened frequently at your job that made you unhappy, how likely would you be to take the following actions? Respond using the scale below from 0 to 100.",,4,False
Work Relationships,workunhappy_complaint,frequent bad event at work - likelihood of filing complaint with employer,"If something happened frequently at your job that made you unhappy, how likely would you be to take the following actions? Respond using the scale below from 0 to 100.",,4,False
Work Relationships,workunhappy_solution,frequent bad event at work - likelihood of resolving with coworker(s),"If something happened frequently at your job that made you unhappy, how likely would you be to take the following actions? Respond using the scale below from 0 to 100.",,4,False
Worker Voice,influence_new_tech,worker influence over introduction of new tech,How much say or influence do you have now over the introduction of new technologies at work that might affect your job?,,17,False
Worker Voice,should_influence_new_tech,how much influence workers should have over introduction of new tech,How much say or influence do you think you should have over the introduction of new technologies at work that might affect your job?,,17,False
Worker Voice,signif_tech_changes,significant changes in use of tech in workplace in past 12 months,Have there been any significant changes in the use of technology at your [EMPLOYER NAME] workplace in the last 12 months?,,17,False
Worker Voice,tech_change_notice,advance notice of significant change in use of tech in workplace,How far in advance of this change were you told that it was going to happen?,,17,False
Worker Voice,tech_change_information,amount of information from employer about newly introduced tech,"How much information have you received from [EMPLOYER NAME] about the purpose, functioning, and/or operation of this newly introduced technology?",,17,False
Punitive Time Attendance,lost_pts_time_med_appt,worker lost/earned time points in past 12 months - health appointment,"In the past 12 months, have you lost or earned a point, occurrence, demerit, or disciplinary charge at work for being late, leaving early for any of the following reasons? Mark all that apply.  - Selected Choice - I attended a medical or mental health appointment for myself or a loved one",if workplace has time-schedule point system AND worker has lost/earned time points for schedule/time change in past 12 months,15,False
Punitive Time Attendance,appeal_points_lost,Perceived difficulty to appeal time-schedule point system,"If you feel you were given or lost a point, occurrence, demerit, or disciplinary charge unfairly, how difficult is it to appeal it?",if workplace has time-schedule point system,15,False
Punitive Time Attendance,avd_lost_pts_delay_hlthcare,avoid time-schedule point penalty in past 12 months - delayed health appointment,"In the past 12 months, have you done any of the following to avoid losing or earning a point, occurrence, demerit, or disciplinary charge? Mark all that apply.  - Selected Choice -",if workplace has time-schedule point system,15,False
Job Search,num_jobapps,Num job applications submitted in the past month,How many job applications have you submitted in the past month?,if job search last week == yes,11,False
EITC,stim_pay_appliance_closed,stimulus use - appliances,Have you spent or do you plan to spend your stimulus payment on any of the following? (Mark all that apply) - Selected Choice - Furniture or appliance purchase,if received stimulus payment in 2020,10,False
Union,antiunion_block_comms,antiunion at workplace - block union communication in apps,Have you noticed any of the following at your [UNION FIRM] workplace? - Block Communication,if works at union firm &amp; employed,"12, 13",False
Labor Violations,exp_auto_clock_out,"in past 12 months, timekeeping system automatically clocks out, not paid afer that","In the past 12 months, has a timekeeping system automatically clocked you out and not paid you for time worked after that?",If working at employer for greater than 1 year,"15, 16, 17",False
Commute,job_search_commute_impact,how much did the commute or access to transportation affect jobs applied to,"Thinking back to your job search process that led you to work at [EMPLOYER NAME], how much did the potential commute or access to transportation affect the jobs you applied to?",,16,False
Commute,travel_issue_resched,travel issue - reschedule appointment because of transportation issue,"To get to the places they need to go, people might walk, bike, take a bus, train or taxi, drive a car, or get a ride. In the past 30 days, how often did you - Have to reschedule an appointment because of a problem with transportation?",,16,False
Heat At Work,able_not_applicable,mitigation strategies for heat at work not applicable,"When I feel uncomfortably hot or overheated while working at ${e://Field/EMPLOYERNAME}, I am able to... Not applicable.",,17,False
Manager Misclassification,task_technique_m,manager duties include - decide techniques employees use,Please select all of the following tasks you regularly perform in your job at [EMPLOYER NAME]. Mark all that apply - Determining the techniques to be used to complete a work-related task,if paid hourly &amp; paid overtime,"5, 6",False
Manager Misclassification,tasktime_technique,pct of manager week spent on - decide techniques employees use,"Still thinking about your job at [EMPLOYER NAME], in a typical week, what percent of your time do you spend on each of the following - Determining the techniques to be used to complete a work-related task",if paid hourly &amp; paid overtime &amp; regularly performs 2+ tasks,"5, 6",False
Manager Misclassification,taskrank_technique,rate importance of task to managing - decide techniques employees use,"Below is a list of typical job duties. Please rank each job duty by how important it is to your job, where a top rank (1) is the most important and a bottom rank (18) is not at all important or not very important - Determining the techniques to be used to complete a work-related task",if paid hourly &amp; paid overtime &amp; regularly performs 2+ tasks,"5, 6",False
Manager Main,post_app,post schedules via - app,How do you post employees’ schedules and communicate changes to their schedules? Mark all that apply. - Use an app,if manager &amp; sets employees schedules,"5, 6",False
Manager Main,comm_app,communicate schedules by - app,How do you post employees’ schedules and communicate changes to their schedules? Mark all that apply. - Use an app,if manager &amp; sets employees schedules,"5, 6",False
Manager Main,hireopensched,importance of applicant availability when hiring,"When you are hiring, how important to you is an applicant’s open availability to work all hours?",if manager &amp; hires employees,"5, 6",False
